Time,Temperature
2023-01-23T11:58:48.215625,20.64
2023-01-23T12:16:28.165861,21.04
2023-01-23T12:20:28.155153,20.64
2023-01-23T12:21:48.144047,20.24
2023-01-23T12:23:48.136471,19.84
2023-01-23T12:25:08.131472,19.44
2023-01-23T12:28:28.115047,19.04
2023-01-23T12:31:48.128298,18.64
2023-01-23T12:35:08.101938,18.16
2023-01-23T12:38:28.087029,17.76
2023-01-23T12:45:48.063302,17.36
2023-01-23T12:51:48.057158,16.96
2023-01-23T13:05:07.994108,16.56
2023-01-23T13:13:47.962198,16.16
2023-01-23T13:33:07.898371,15.76
2023-01-23T13:59:07.815031,15.36
2023-01-23T14:50:27.644284,14.88
2023-01-23T23:40:05.880170,14.48
2023-01-23T23:42:05.875103,14.88
2023-01-23T23:42:45.867763,15.28
2023-01-23T23:44:05.862598,15.84
2023-01-23T23:44:45.865463,16.24
2023-01-23T23:45:25.865433,16.64
2023-01-23T23:46:45.856117,17.28
2023-01-23T23:47:25.857264,17.76
2023-01-23T23:48:45.859506,18.4
2023-01-24T00:06:45.809851,18.8
2023-01-24T01:58:05.430999,19.2
2023-01-24T02:04:05.412347,18.8
2023-01-24T03:58:05.035205,19.2
2023-01-24T04:02:45.036049,18.8
2023-01-24T07:27:54.348039,19.2
2023-01-24T07:29:54.341419,19.6
2023-01-24T07:31:14.339554,20.08
2023-01-24T07:32:34.342083,20.48
2023-01-24T07:53:14.264835,20.96
2023-01-24T07:59:14.238095,20.56
2023-01-24T08:06:34.215712,20.96
2023-01-24T08:13:54.189733,20.56
2023-01-24T08:17:54.175375,20.96
2023-01-24T08:45:14.083686,20.56
2023-01-24T08:49:54.080265,20.96
2023-01-24T09:22:33.968376,20.56
2023-01-24T09:35:53.930598,20.96
2023-01-24T09:42:33.905035,20.56
2023-01-24T09:57:13.863448,20.96
2023-01-24T10:06:33.833772,20.56
2023-01-24T10:11:13.819558,20.96
2023-01-24T12:57:13.294782,20.56
2023-01-24T13:07:53.267790,20.96
2023-01-24T13:17:13.225228,20.56
2023-01-24T13:31:13.176949,20.96
2023-01-24T13:37:53.157920,20.56
2023-01-24T14:36:32.967512,20.96
2023-01-24T14:40:32.948695,20.56
2023-01-24T15:01:52.882363,20.96
2023-01-24T15:07:52.859059,20.56
2023-01-24T15:17:12.831198,20.96
2023-01-24T15:25:12.804809,20.56
2023-01-24T15:42:32.744333,20.96
2023-01-24T15:47:52.737840,20.56
2023-01-24T16:02:32.676556,20.96
2023-01-24T16:09:52.656854,20.56
2023-01-24T16:15:12.633219,20.96
2023-01-24T16:23:12.608410,20.56
2023-01-24T16:31:52.586012,20.96
2023-01-24T16:43:12.559598,20.56
2023-01-24T16:52:32.529607,20.96
2023-01-24T17:03:12.493307,20.56
2023-01-24T17:14:32.457093,20.96
2023-01-24T17:25:12.429534,20.56
2023-01-24T17:34:42.398671,20.96
2023-01-24T17:38:42.387651,20.56
2023-01-24T17:41:22.371479,20.08
2023-01-24T17:44:02.361345,19.68
2023-01-24T17:46:02.363259,19.28
2023-01-24T17:50:42.339225,18.88
2023-01-24T17:53:22.324434,18.48
2023-01-24T18:00:02.304313,18.08
2023-01-24T18:03:22.293884,17.68
2023-01-24T18:13:22.262084,17.28
2023-01-24T18:29:22.205987,16.88
2023-01-24T18:51:22.131878,16.48
2023-01-24T19:23:22.023250,16.08
2023-01-24T19:56:41.906495,15.68
2023-01-24T20:32:41.796990,15.28
2023-01-24T20:35:21.787117,15.68
2023-01-24T21:02:41.698256,15.28
2023-01-24T22:12:01.457045,14.88
2023-01-24T22:22:41.425887,15.28
2023-01-24T22:45:21.352873,14.88
2023-01-24T22:54:01.316954,15.28
2023-01-24T23:11:21.264674,14.88
2023-01-24T23:42:01.155528,15.36
2023-01-24T23:43:21.153254,16.16
2023-01-24T23:44:01.152915,16.56
2023-01-24T23:44:41.150536,17.04
2023-01-24T23:45:21.149592,17.44
2023-01-24T23:46:01.148742,18.08
2023-01-24T23:47:21.142891,18.64
2023-01-24T23:48:41.132957,19.04
2023-01-24T23:53:21.128343,18.56
2023-01-24T23:56:41.110664,18.16
2023-01-25T00:04:01.101134,18.56
2023-01-25T00:08:01.078676,19.04
2023-01-25T00:14:41.057337,18.64
2023-01-25T00:24:41.019744,19.04
2023-01-25T00:38:00.972076,18.64
2023-01-25T00:44:40.951612,19.04
2023-01-25T00:53:20.943197,18.64
2023-01-25T01:20:40.837518,19.04
2023-01-25T01:38:40.775749,18.64
2023-01-25T01:46:00.765499,19.04
2023-01-25T03:22:00.449069,18.64
2023-01-25T03:29:20.411719,19.04
2023-01-25T04:16:40.258174,18.64
2023-01-25T04:32:00.216438,19.04
2023-01-25T04:43:20.173432,18.64
2023-01-25T05:11:20.078144,19.04
2023-01-25T05:20:40.051772,18.56
2023-01-25T05:32:00.029916,19.04
2023-01-25T05:41:59.990743,18.64
2023-01-25T05:51:19.946030,19.04
2023-01-25T05:53:59.942760,18.64
2023-01-25T06:11:59.898443,19.04
2023-01-25T06:15:59.872738,18.64
2023-01-25T07:27:09.630244,19.2
2023-01-25T07:29:09.618113,19.68
2023-01-25T07:31:09.615925,20.24
2023-01-25T07:33:49.611116,20.8
2023-01-25T07:39:49.587967,20.4
2023-01-25T07:51:09.555439,20.8
2023-01-25T09:29:49.241043,21.2
2023-01-25T09:35:49.219914,20.8
2023-01-25T15:20:58.080517,21.28
2023-01-25T15:26:18.073355,20.88
2023-01-25T15:28:18.063085,20.48
2023-01-25T15:29:38.080938,20.08
2023-01-25T15:31:38.052638,19.68
2023-01-25T15:34:58.047255,19.2
2023-01-25T15:44:58.014374,18.8
2023-01-25T16:00:17.963676,18.4
2023-01-25T17:43:17.650249,18.0
2023-01-25T17:50:37.618800,17.6
2023-01-25T17:53:57.606584,17.2
2023-01-25T18:02:37.579177,16.8
2023-01-25T18:21:17.488620,16.16
2023-01-25T18:49:57.391788,15.76
2023-01-25T19:25:57.277158,15.36
2023-01-25T20:35:17.052094,14.96
2023-01-25T23:39:46.444682,14.56
2023-01-25T23:41:46.437564,15.2
2023-01-25T23:43:06.430983,16.0
2023-01-25T23:43:46.423007,16.4
2023-01-25T23:44:26.424175,16.8
2023-01-25T23:45:06.431561,17.2
2023-01-25T23:45:46.417991,17.6
2023-01-25T23:46:26.419534,18.08
2023-01-25T23:47:46.413960,18.64
2023-01-25T23:49:06.418381,19.04
2023-01-25T23:53:46.399197,18.56
2023-01-25T23:57:46.380881,18.16
2023-01-26T00:05:06.363406,18.56
2023-01-26T00:07:46.353472,19.04
2023-01-26T00:15:06.326148,18.56
2023-01-26T00:19:46.316192,19.04
2023-01-26T00:30:26.274363,18.64
2023-01-26T00:35:46.265066,19.04
2023-01-26T00:45:46.232164,18.64
2023-01-26T00:50:26.211252,19.04
2023-01-26T01:03:46.168568,18.64
2023-01-26T01:11:06.146324,19.2
2023-01-26T01:19:46.116224,18.8
2023-01-26T01:24:26.102591,19.2
2023-01-26T01:29:06.091493,18.8
2023-01-26T01:37:46.057564,19.2
2023-01-26T01:43:06.038769,18.64
2023-01-26T01:55:05.997983,19.2
2023-01-26T01:59:45.988182,18.64
2023-01-26T02:56:25.801810,19.04
2023-01-26T03:08:25.761328,18.64
2023-01-26T03:37:45.668796,19.04
2023-01-26T06:18:25.147585,18.64
2023-01-26T07:21:04.938910,19.04
2023-01-26T07:28:54.910013,18.64
2023-01-26T07:30:54.899417,18.24
2023-01-26T08:14:14.758107,18.64
2023-01-26T08:23:34.734436,18.24
2023-01-26T09:10:14.582353,18.64
2023-01-26T09:20:54.540555,18.24
2023-01-26T10:59:04.211617,18.64
2023-01-26T11:07:04.189606,18.24
2023-01-26T15:11:03.396498,18.64
2023-01-26T15:17:43.374242,18.24
2023-01-26T17:13:03.027616,18.64
2023-01-26T17:19:02.974817,18.24
2023-01-26T17:35:02.920562,18.64
2023-01-26T17:39:02.915515,18.24
2023-01-26T17:42:22.902817,17.68
2023-01-26T17:47:02.885825,17.28
2023-01-26T17:49:42.880110,16.88
2023-01-26T17:56:22.858791,16.48
2023-01-26T18:03:42.832437,16.08
2023-01-26T18:13:42.795470,15.68
2023-01-26T18:23:02.785172,15.28
2023-01-26T18:29:02.744679,15.68
2023-01-26T18:43:02.702276,15.28
2023-01-26T19:14:22.596800,14.88
2023-01-26T23:39:21.705954,14.4
2023-01-26T23:42:01.697372,14.8
2023-01-26T23:42:41.703039,15.28
2023-01-26T23:44:01.692577,15.84
2023-01-26T23:44:41.684402,16.4
2023-01-26T23:45:21.687210,16.8
2023-01-26T23:46:01.685386,17.2
2023-01-26T23:46:41.678015,17.6
2023-01-26T23:47:21.679180,18.0
2023-01-26T23:48:41.671468,18.56
2023-01-26T23:49:21.670745,18.96
2023-01-26T23:54:01.652767,18.56
2023-01-26T23:55:21.656187,18.16
2023-01-27T00:05:21.616032,18.56
2023-01-27T00:08:01.610573,18.96
2023-01-27T00:17:21.573982,18.48
2023-01-27T00:23:21.559990,18.96
2023-01-27T02:03:21.250091,18.56
2023-01-27T02:08:01.229017,19.04
2023-01-27T02:16:01.207120,18.64
2023-01-27T02:40:01.119779,19.2
2023-01-27T02:50:41.080735,18.8
2023-01-27T02:58:41.056869,19.2
2023-01-27T03:04:41.039550,18.64
2023-01-27T03:13:21.010927,19.04
2023-01-27T03:19:20.994194,18.64
2023-01-27T03:31:20.947642,19.2
2023-01-27T03:42:40.909521,18.64
2023-01-27T03:56:00.866747,19.04
2023-01-27T04:03:20.843125,18.64
2023-01-27T04:27:20.768627,19.04
2023-01-27T04:34:00.745981,18.64
2023-01-27T04:41:20.720114,19.04
2023-01-27T04:51:20.686300,18.64
2023-01-27T06:08:00.437446,19.04
2023-01-27T06:30:00.363319,18.64
2023-01-27T06:42:00.325250,19.04
2023-01-27T06:53:20.286833,18.64
2023-01-27T07:31:50.162388,18.24
2023-01-27T11:15:49.440270,18.64
2023-01-27T11:20:29.426831,18.24
2023-01-27T12:01:49.288765,18.64
2023-01-27T12:09:09.253086,18.24
2023-01-27T15:44:28.550190,18.64
2023-01-27T15:52:28.525292,18.24
2023-01-27T16:51:08.322948,18.64
2023-01-27T16:58:28.294325,18.24
2023-01-27T17:09:48.257425,18.64
2023-01-27T17:16:28.238167,18.24
2023-01-27T17:42:38.150169,17.84
2023-01-27T17:45:58.138436,17.44
2023-01-27T17:48:38.131257,17.04
2023-01-27T17:52:38.116648,16.64
2023-01-27T17:59:58.099366,16.16
2023-01-27T18:05:58.078204,15.76
2023-01-27T18:20:38.031966,15.36
2023-01-27T18:51:57.930718,14.88
2023-01-28T00:21:46.820773,15.28
2023-01-28T00:27:46.795932,14.8
2023-01-28T00:39:46.752764,15.2
2023-01-28T00:45:06.740760,14.8
2023-01-28T00:58:26.700472,15.2
2023-01-28T01:05:06.684764,14.8
2023-01-28T01:19:06.633716,15.2
2023-01-28T01:24:26.618482,14.8
2023-01-28T04:55:05.934827,15.2
2023-01-28T05:01:45.909512,14.64
2023-01-28T05:13:45.887344,15.04
2023-01-28T05:23:45.828729,14.64
2023-01-28T07:51:45.330177,15.04
2023-01-28T07:57:45.312943,14.64
2023-01-28T08:15:05.247085,15.04
2023-01-28T08:23:45.223070,14.64
2023-01-28T08:41:45.163075,15.04
2023-01-28T08:53:05.126281,14.64
2023-01-28T10:49:04.739362,15.04
2023-01-28T10:55:44.716782,14.64
2023-01-28T12:33:04.400126,15.04
2023-01-28T12:43:44.370679,14.64
2023-01-28T12:59:44.314463,15.04
2023-01-28T13:08:24.303531,14.64
2023-01-28T13:20:24.243958,15.04
2023-01-28T13:27:44.215536,14.64
2023-01-28T13:56:24.126014,15.04
2023-01-28T14:01:44.105958,14.64
2023-01-28T14:33:43.993465,15.04
2023-01-28T14:44:23.962647,14.64
2023-01-28T15:16:23.848430,15.04
2023-01-28T15:22:23.824081,14.64
2023-01-28T16:15:03.654558,15.04
2023-01-28T16:23:03.630241,14.64
2023-01-28T16:39:43.579009,15.04
2023-01-28T16:49:03.546913,14.64
2023-01-28T19:43:02.974299,15.04
2023-01-28T20:07:02.891529,14.64
2023-01-28T21:40:22.577060,15.04
2023-01-28T21:47:42.557523,14.56
2023-01-28T21:52:22.545222,14.96
2023-01-28T22:39:02.368381,14.56
2023-01-28T23:04:22.290312,14.96
2023-01-28T23:19:42.236531,14.48
2023-01-28T23:21:42.251155,14.88
2023-01-29T03:07:21.471079,14.48
2023-01-29T03:12:41.452949,14.88
2023-01-29T14:05:19.295298,14.48
2023-01-29T14:11:19.278250,14.88
2023-01-29T15:59:18.921189,14.48
2023-01-29T16:07:18.895851,14.88
2023-01-29T23:42:47.382369,15.28
2023-01-29T23:44:07.377518,16.0
2023-01-29T23:45:27.371711,16.48
2023-01-29T23:46:47.365738,16.88
2023-01-29T23:47:27.388218,17.28
2023-01-29T23:48:47.369744,17.76
2023-01-29T23:51:27.351712,18.24
2023-01-29T23:56:07.339659,17.84
2023-01-30T00:00:07.323717,18.24
2023-01-30T00:06:07.309219,18.64
2023-01-30T00:43:27.181790,19.04
2023-01-30T01:43:27.110229,18.64
2023-01-30T01:50:46.928541,19.04
2023-01-30T02:35:26.799133,18.64
2023-01-30T02:40:06.782430,19.04
2023-01-30T04:57:26.363587,18.64
2023-01-30T05:31:26.251155,19.04
2023-01-30T05:45:26.208619,18.64
2023-01-30T06:38:06.037868,19.04
2023-01-30T06:50:05.999140,18.64
2023-01-30T06:56:05.977994,19.04
2023-01-30T07:15:25.911340,18.64
2023-01-30T07:23:05.885949,19.04
2023-01-30T07:29:05.866743,18.64
2023-01-30T07:32:25.859581,18.24
2023-01-30T09:15:45.517501,18.64
2023-01-30T09:19:05.509007,18.16
2023-01-30T09:29:45.481239,18.56
2023-01-30T09:35:05.461198,18.16
2023-01-30T09:55:05.396361,18.56
2023-01-30T10:18:25.319682,18.16
2023-01-30T11:07:05.158773,18.56
2023-01-30T11:15:45.132214,18.16
2023-01-30T11:22:25.107136,18.56
2023-01-30T11:29:05.082124,18.16
2023-01-30T11:35:45.064515,18.56
2023-01-30T11:43:05.042347,18.16
2023-01-30T11:53:05.004299,18.56
2023-01-30T13:41:04.656581,18.16
2023-01-30T13:55:44.610297,18.56
2023-01-30T14:03:44.578742,18.16
2023-01-30T14:19:04.527632,18.56
2023-01-30T14:26:24.506033,18.16
2023-01-30T14:35:44.472648,18.56
2023-01-30T14:45:04.436086,18.16
2023-01-30T14:53:04.417214,18.56
2023-01-30T15:41:44.259652,18.16
2023-01-30T15:49:04.233799,18.56
2023-01-30T16:02:24.185176,18.16
2023-01-30T16:07:44.173076,18.56
2023-01-30T16:42:24.060726,18.16
2023-01-30T16:58:24.009459,18.56
2023-01-30T17:13:03.960931,18.0
2023-01-30T17:23:43.931518,18.4
2023-01-30T17:42:33.866552,18.0
2023-01-30T17:45:53.850776,17.6
2023-01-30T17:51:53.830910,17.2
2023-01-30T17:56:33.815555,16.8
2023-01-30T18:11:53.764434,16.4
2023-01-30T18:25:53.721303,16.0
2023-01-30T18:56:33.613619,15.6
2023-01-30T19:18:33.541244,15.2
2023-01-30T20:13:13.357460,14.8
