Time,Temperature
2023-01-23T11:47:57.004294,18.88
2023-01-23T12:17:56.968401,18.88
2023-01-23T12:47:56.935676,18.8
2023-01-23T13:17:56.894608,18.8
2023-01-23T13:47:56.858012,18.88
2023-01-23T14:17:56.817125,18.88
2023-01-23T14:47:56.786308,18.88
2023-01-23T15:17:56.743879,18.88
2023-01-23T15:47:56.716000,18.88
2023-01-23T16:17:56.680380,18.88
2023-01-23T16:47:56.632070,18.88
2023-01-23T17:17:56.593969,18.8
2023-01-23T17:47:56.555464,18.64
2023-01-23T18:17:56.519109,18.48
2023-01-23T18:47:56.485776,18.16
2023-01-23T19:17:56.452732,17.84
2023-01-23T19:47:56.411715,17.76
2023-01-23T20:17:56.377552,17.44
2023-01-23T20:47:56.344309,17.36
2023-01-23T21:17:56.311600,17.28
2023-01-23T21:47:56.268339,17.04
2023-01-23T22:17:56.229644,16.88
2023-01-23T22:47:56.186585,16.88
2023-01-23T23:17:56.148619,16.88
2023-01-23T23:47:56.117452,16.88
2023-01-24T00:08:16.090546,17.28
2023-01-24T00:37:36.064368,17.68
2023-01-24T01:06:56.033817,17.84
2023-01-24T01:36:56.004480,18.16
2023-01-24T02:06:55.944569,18.24
2023-01-24T02:36:55.899581,18.48
2023-01-24T03:06:55.871417,18.64
2023-01-24T03:36:55.834473,18.88
2023-01-24T04:06:55.792721,18.96
2023-01-24T04:36:55.777377,18.96
2023-01-24T05:06:55.719323,18.96
2023-01-24T05:36:55.684513,18.96
2023-01-24T06:06:55.654220,18.88
2023-01-24T06:36:55.611808,18.8
2023-01-24T07:06:55.578681,18.64
2023-01-24T07:36:55.542436,18.64
2023-01-24T08:06:55.493813,18.88
2023-01-24T08:36:55.451266,18.96
2023-01-24T09:06:55.417633,19.04
2023-01-24T09:36:55.387264,19.2
2023-01-24T10:06:55.349427,19.04
2023-01-24T10:36:55.313077,18.88
2023-01-24T11:06:55.278080,18.64
2023-01-24T11:36:55.246243,18.64
2023-01-24T12:06:55.220583,18.88
2023-01-24T12:36:55.189777,18.96
2023-01-24T13:06:55.139180,18.88
2023-01-24T13:36:55.104537,18.88
2023-01-24T14:06:55.068231,18.64
2023-01-24T14:36:55.029161,18.64
2023-01-24T15:06:54.989183,18.88
2023-01-24T15:36:54.951689,18.96
2023-01-24T16:06:54.915042,18.96
2023-01-24T16:36:54.880773,18.88
2023-01-24T17:06:54.852334,18.8
2023-01-24T17:36:54.819060,18.64
2023-01-24T18:06:54.776713,18.48
2023-01-24T18:36:54.737042,18.24
2023-01-24T19:06:54.695615,18.16
2023-01-24T19:36:54.657561,18.0
2023-01-24T20:06:54.620997,17.84
2023-01-24T20:36:54.579833,17.68
2023-01-24T21:06:54.542146,17.6
2023-01-24T21:36:54.512679,17.44
2023-01-24T22:06:54.472817,17.36
2023-01-24T22:36:54.431884,17.28
2023-01-24T23:06:54.398406,17.04
2023-01-24T23:36:54.360294,17.04
2023-01-25T00:01:24.327548,17.44
2023-01-25T00:28:14.303030,17.84
2023-01-25T00:57:54.255748,18.16
2023-01-25T01:27:54.221034,18.24
2023-01-25T01:57:54.183699,18.48
2023-01-25T02:27:54.148540,18.64
2023-01-25T02:57:54.106707,18.96
2023-01-25T03:27:54.068748,18.96
2023-01-25T03:57:54.027885,19.04
2023-01-25T04:27:53.995962,18.96
2023-01-25T04:57:53.959230,18.88
2023-01-25T05:27:53.925394,18.64
2023-01-25T05:57:53.889580,18.64
2023-01-25T06:27:53.852532,18.64
2023-01-25T06:57:53.811107,18.8
2023-01-25T07:27:53.771767,19.04
2023-01-25T07:57:53.736133,19.2
2023-01-25T08:27:53.703301,19.04
2023-01-25T08:56:33.668017,18.64
2023-01-25T09:25:53.630280,18.64
2023-01-25T09:55:53.599558,18.56
2023-01-25T10:25:53.556320,18.64
2023-01-25T10:55:53.540340,18.96
2023-01-25T11:25:53.519119,19.04
2023-01-25T11:55:53.455256,19.04
2023-01-25T12:25:53.418308,18.96
2023-01-25T12:55:53.386366,18.64
2023-01-25T13:25:53.345932,18.64
2023-01-25T13:55:53.309546,18.64
2023-01-25T14:25:53.261979,18.8
2023-01-25T14:55:53.223470,18.96
2023-01-25T15:25:53.183687,19.04
2023-01-25T15:55:53.150572,18.96
2023-01-25T16:25:53.119289,18.88
2023-01-25T16:55:53.099862,18.64
2023-01-25T17:25:53.066046,18.64
2023-01-25T17:55:53.023477,18.64
2023-01-25T18:25:52.969225,18.48
2023-01-25T18:55:52.929515,18.24
2023-01-25T19:25:52.887824,18.16
2023-01-25T19:55:52.863605,18.0
2023-01-25T20:25:52.845407,17.84
2023-01-25T20:55:52.795700,17.68
2023-01-25T21:25:52.750716,17.44
2023-01-25T21:55:52.712309,17.44
2023-01-25T22:25:52.680655,17.36
2023-01-25T22:55:52.645455,17.36
2023-01-25T23:25:52.603959,17.28
2023-01-25T23:55:52.569275,17.44
2023-01-26T00:19:32.538118,17.84
2023-01-26T00:48:52.501696,18.16
2023-01-26T01:18:52.462352,18.48
2023-01-26T01:48:52.422670,18.64
2023-01-26T02:18:52.388426,18.88
2023-01-26T02:48:52.362029,18.96
2023-01-26T03:18:52.313679,19.04
2023-01-26T03:48:52.283881,19.04
2023-01-26T04:18:52.243793,18.96
2023-01-26T04:48:52.208278,18.64
2023-01-26T05:18:52.166931,18.64
2023-01-26T05:48:52.139102,18.64
2023-01-26T06:18:52.098192,18.88
2023-01-26T06:48:52.064327,18.96
2023-01-26T07:18:52.020882,19.04
2023-01-26T07:48:51.989809,18.96
2023-01-26T08:18:51.946926,18.8
2023-01-26T08:48:51.906573,18.96
2023-01-26T09:18:51.873588,19.28
2023-01-26T09:48:51.839224,19.44
2023-01-26T10:18:51.799684,19.44
2023-01-26T10:48:51.760443,19.36
2023-01-26T11:18:51.726750,19.44
2023-01-26T11:48:51.695448,19.6
2023-01-26T12:18:51.664687,19.44
2023-01-26T12:48:51.623467,19.44
2023-01-26T13:07:41.597238,19.04
2023-01-26T13:36:51.560074,18.88
2023-01-26T14:06:51.526291,18.64
2023-01-26T14:36:51.487121,18.56
2023-01-26T15:06:51.451257,18.64
2023-01-26T15:36:51.412335,18.88
2023-01-26T16:06:51.374981,19.04
2023-01-26T16:36:51.343796,18.96
2023-01-26T17:06:51.311233,18.88
2023-01-26T17:36:51.267904,18.64
2023-01-26T18:06:51.239253,18.48
2023-01-26T18:36:51.199809,18.24
2023-01-26T19:06:51.160480,18.16
2023-01-26T19:36:51.123127,18.08
2023-01-26T20:06:51.087152,17.84
2023-01-26T20:36:51.050631,17.76
2023-01-26T21:06:51.009506,17.68
2023-01-26T21:36:50.975020,17.44
2023-01-26T22:06:50.935453,17.36
2023-01-26T22:36:50.899862,17.36
2023-01-26T23:06:50.863243,17.2
2023-01-26T23:36:50.824579,17.04
2023-01-26T23:58:20.790592,17.44
2023-01-27T00:26:40.768415,17.84
2023-01-27T00:55:50.732019,18.16
2023-01-27T01:25:50.694514,18.48
2023-01-27T01:55:50.656406,18.56
2023-01-27T02:25:50.619882,18.8
2023-01-27T02:55:50.577477,18.96
2023-01-27T03:25:50.536659,19.04
2023-01-27T03:55:50.500180,19.04
2023-01-27T04:25:50.465292,18.96
2023-01-27T04:55:50.425392,18.88
2023-01-27T05:25:50.391837,18.64
2023-01-27T05:55:50.356001,18.64
2023-01-27T06:25:50.319915,18.64
2023-01-27T06:55:50.282330,18.88
2023-01-27T07:25:50.245336,18.96
2023-01-27T07:55:50.203503,18.96
2023-01-27T08:25:50.175541,18.96
2023-01-27T08:55:50.146193,18.88
2023-01-27T09:25:50.107821,18.88
2023-01-27T09:55:50.071576,18.8
2023-01-27T10:25:50.035408,18.64
2023-01-27T10:55:49.995359,18.96
2023-01-27T11:25:49.954832,18.96
2023-01-27T11:55:49.921726,18.96
2023-01-27T12:25:49.875522,18.88
2023-01-27T12:55:49.831280,18.8
2023-01-27T13:25:49.803815,18.64
2023-01-27T13:55:49.766909,18.8
2023-01-27T14:25:49.725377,18.96
2023-01-27T14:55:49.692623,18.96
2023-01-27T15:25:49.656761,18.96
2023-01-27T15:55:49.620526,18.88
2023-01-27T16:25:49.582507,18.64
2023-01-27T16:55:49.535482,18.64
2023-01-27T17:25:49.497924,18.64
2023-01-27T17:55:49.465021,18.64
2023-01-27T18:25:49.431625,18.48
2023-01-27T18:55:49.405451,18.16
2023-01-27T19:25:49.363657,18.08
2023-01-27T19:55:49.331717,17.84
2023-01-27T20:25:49.301854,17.68
2023-01-27T20:55:49.260007,17.6
2023-01-27T21:25:49.221678,17.44
2023-01-27T21:55:49.178037,17.36
2023-01-27T22:25:49.146143,17.28
2023-01-27T22:55:49.102337,17.2
2023-01-27T23:25:49.065314,17.04
2023-01-27T23:55:49.014205,16.96
2023-01-28T00:25:48.979266,16.96
2023-01-28T00:55:48.942728,16.88
2023-01-28T01:25:48.912369,16.8
2023-01-28T01:55:48.870059,16.64
2023-01-28T02:25:48.829760,16.64
2023-01-28T02:55:48.794715,16.64
2023-01-28T03:25:48.767926,16.64
2023-01-28T03:55:48.736009,16.56
2023-01-28T04:25:48.701994,16.56
2023-01-28T04:55:48.656284,16.48
2023-01-28T05:25:48.612622,16.48
2023-01-28T05:55:48.573597,16.48
2023-01-28T06:25:48.535112,16.4
2023-01-28T06:55:48.494463,16.4
2023-01-28T07:25:48.458802,16.24
2023-01-28T07:55:48.433205,16.24
2023-01-28T08:25:48.371786,16.24
2023-01-28T08:55:48.338752,16.24
2023-01-28T09:25:48.307080,16.16
2023-01-28T09:55:48.269602,16.16
2023-01-28T10:25:48.226904,16.16
2023-01-28T10:55:48.190546,16.16
2023-01-28T11:25:48.155362,16.16
2023-01-28T11:55:48.119097,16.16
2023-01-28T12:25:48.081290,16.08
2023-01-28T12:55:48.039582,16.08
2023-01-28T13:25:48.005348,16.08
2023-01-28T13:55:47.966382,16.08
